name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Deinococcales	118964	O	3066	0.00006	3093	0.00008	2446	0.00005	1632	0.00004	2512	0.00005	2526	0.00007
Thermales	68933	O	1026	0.00002	914	0.00002	1207	0.00002	546	0.00001	763	0.00002	777	0.00002
Mycoplasmatales	2085	O	1866	0.00003	1137	0.00003	599	0.00001	1296	0.00003	1959	0.00004	1272	0.00003
Entomoplasmatales	186328	O	1239	0.00002	657	0.00002	646	0.00001	831	0.00002	1153	0.00002	850	0.00002
Acholeplasmatales	186329	O	802	0.00001	404	0.00001	280	0.00001	532	0.00001	757	0.00002	466	0.00001
Chloroflexales	32064	O	343	0.00001	345	0.00001	420	0.00001	218	0.00001	280	0.00001	279	0.00001
Dehalococcoidales	1202465	O	388	0.00001	420	0.00001	123	0.00000	432	0.00001	430	0.00001	371	0.00001
Anaerolineales	292629	O	271	0.00000	273	0.00001	3616	0.00007	116	0.00000	373	0.00001	224	0.00001
Sphaerobacterales	85001	O	122	0.00000	158	0.00000	125	0.00000	121	0.00000	142	0.00000	125	0.00000
Thermomicrobiales	189776	O	81	0.00000	80	0.00000	76	0.00000	70	0.00000	68	0.00000	66	0.00000
Ardenticatenales	1382929	O	193	0.00000	130	0.00000	173	0.00000	139	0.00000	118	0.00000	113	0.00000
