name	taxonomy_id	taxonomy_lvl	sample_A_num	sample_A_frac	sample_B_num	sample_B_frac	sample_C_num	sample_C_frac	sample_D_num	sample_D_frac	sample_E_num	sample_E_frac	sample_F_num	sample_F_frac
Congregibacter litoralis	393662	S	202	0.00000	131	0.00000	34	0.00000	143	0.00000	181	0.00000	163	0.00000
Methylomonas methanica	421	S	223	0.00000	99	0.00000	90	0.00000	80	0.00000	97	0.00000	132	0.00000
Methylomonas denitrificans	1538553	S	188	0.00000	163	0.00000	119	0.00000	118	0.00000	122	0.00000	135	0.00000
Methylomonas sp. LW13	107637	S	150	0.00000	145	0.00000	97	0.00000	105	0.00000	103	0.00000	111	0.00000
Methylomonas sp. DH-1	1727196	S	225	0.00000	80	0.00000	44	0.00000	83	0.00000	233	0.00000	122	0.00000
Methylomonas koyamae	702114	S	156	0.00000	136	0.00000	107	0.00000	93	0.00000	112	0.00000	139	0.00000
Methylomicrobium album	39775	S	312	0.00001	269	0.00001	128	0.00000	195	0.00001	219	0.00000	232	0.00001
Methylomicrobium buryatense	95641	S	155	0.00000	92	0.00000	115	0.00000	97	0.00000	117	0.00000	76	0.00000
Methylomicrobium sp. wino1	2049332	S	73	0.00000	37	0.00000	0	0.00000	28	0.00000	34	0.00000	40	0.00000
Methylomicrobium alcaliphilum	271065	S	83	0.00000	77	0.00000	0	0.00000	27	0.00000	117	0.00000	59	0.00000
Methylovulum psychrotolerans	1704499	S	316	0.00001	179	0.00000	174	0.00000	155	0.00000	213	0.00000	236	0.00001
Methylococcus capsulatus	414	S	306	0.00001	262	0.00001	107	0.00000	191	0.00000	246	0.00001	233	0.00001
Methylocaldum marinum	1432792	S	221	0.00000	128	0.00000	151	0.00000	90	0.00000	110	0.00000	155	0.00000
Thiomicrorhabdus sp. HaS4	2211106	S	151	0.00000	107	0.00000	58	0.00000	57	0.00000	70	0.00000	121	0.00000
Thiomicrorhabdus sp. 13-15A	2267253	S	64	0.00000	26	0.00000	14	0.00000	30	0.00000	37	0.00000	24	0.00000
Thiomicrorhabdus sp. G1	2580412	S	61	0.00000	32	0.00000	47	0.00000	120	0.00000	61	0.00000	58	0.00000
Thiomicrospira cyclica	147268	S	125	0.00000	61	0.00000	20	0.00000	60	0.00000	101	0.00000	88	0.00000
Thiomicrospira sp. S5	1803865	S	139	0.00000	47	0.00000	136	0.00000	46	0.00000	84	0.00000	81	0.00000
Thiomicrospira aerophila	92245	S	60	0.00000	34	0.00000	23	0.00000	23	0.00000	26	0.00000	44	0.00000
Methylophaga frappieri	754477	S	87	0.00000	27	0.00000	30	0.00000	44	0.00000	68	0.00000	53	0.00000
Methylophaga nitratireducenticrescens	754476	S	52	0.00000	32	0.00000	34	0.00000	32	0.00000	52	0.00000	34	0.00000
Hydrogenovibrio crunogenus	39765	S	64	0.00000	75	0.00000	40	0.00000	56	0.00000	122	0.00000	44	0.00000
Hydrogenovibrio thermophilus	265883	S	84	0.00000	38	0.00000	39	0.00000	42	0.00000	82	0.00000	60	0.00000
Piscirickettsia salmonis	1238	S	49	0.00000	45	0.00000	33	0.00000	26	0.00000	34	0.00000	38	0.00000
Francisella sp. FSC1006	1547445	S	71	0.00000	21	0.00000	0	0.00000	105	0.00000	102	0.00000	59	0.00000
Francisella tularensis	263	S	48	0.00000	58	0.00000	0	0.00000	31	0.00000	54	0.00000	32	0.00000
Francisella philomiragia	28110	S	120	0.00000	0	0.00000	0	0.00000	90	0.00000	102	0.00000	90	0.00000
Francisella noatunensis	657445	S	124	0.00000	80	0.00000	0	0.00000	0	0.00000	76	0.00000	39	0.00000
Francisella sp. TX077308	573569	S	46	0.00000	0	0.00000	0	0.00000	26	0.00000	28	0.00000	20	0.00000
Francisella hispaniensis	622488	S	38	0.00000	24	0.00000	82	0.00000	0	0.00000	52	0.00000	20	0.00000
Francisella sp. TX077310	573570	S	27	0.00000	53	0.00000	33	0.00000	31	0.00000	20	0.00000	39	0.00000
Francisella sp. FDC440	2007306	S	26	0.00000	20	0.00000	0	0.00000	15	0.00000	38	0.00000	11	0.00000
Francisella persica	954	S	16	0.00000	12	0.00000	0	0.00000	13	0.00000	26	0.00000	0	0.00000
Francisella sp. CA97-1460	1542390	S	15	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	10	0.00000
Francisella halioticida	549298	S	11	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000	12	0.00000
Allofrancisella guangzhouensis	594679	S	41	0.00000	0	0.00000	35	0.00000	19	0.00000	21	0.00000	23	0.00000
Beggiatoa leptomitoformis	288004	S	168	0.00000	94	0.00000	75	0.00000	86	0.00000	111	0.00000	123	0.00000
Thioploca ingrica	40754	S	36	0.00000	27	0.00000	75	0.00000	17	0.00000	53	0.00000	15	0.00000
gamma proteobacterium HdN1	83406	S	300	0.00001	131	0.00000	181	0.00000	170	0.00000	163	0.00000	256	0.00001
endosymbiont of unidentified scaly snail isolate Monju	1248727	S	146	0.00000	130	0.00000	96	0.00000	68	0.00000	158	0.00000	130	0.00000
Gammaproteobacteria bacterium DM2	2169539	S	106	0.00000	69	0.00000	86	0.00000	69	0.00000	73	0.00000	68	0.00000
Gammaproteobacteria bacterium soil36-7	2259620	S	102	0.00000	115	0.00000	57	0.00000	52	0.00000	76	0.00000	64	0.00000
